type,workspace,send_date,campaign_or_step,sends,opens,open_rate,clicks,click_rate,ctor,orders_xbrand,revenue_xbrand,rev_per_1k
blast,ID,2026-01-23,P_EM_2026_01_23_TRADE_ALL_D_PR_Oops_Winter_Refresh_Sale_Reminder,19655,9341,0.4752,76,0.0039,0.0081,1,5578.50,283.82
blast,ID,2026-01-28,P_EM_2026_01_29_ALL_TRADE_PT_Appreciation_Week_Teaser,19697,9507,0.4827,288,0.0146,0.0303,1,3131.42,158.98
blast,ID,2026-02-01,P_EM_2026_02_02_TRADE_ALL_D_PR_Appreciation_Launch,19717,8702,0.4413,137,0.0069,0.0157,4,8027.03,407.11
blast,ID,2026-02-03,P_EM_2026_02_03_TRADE_CZ_D_PR_Imabari_Towels_in_Seaglass,19690,9012,0.4577,56,0.0028,0.0062,0,0.00,0.00
blast,ID,2026-02-04,P_EM_2026_02_05_TRADE_ALL_D_PR_Appreciation_Launch_Last_Chance,19751,8640,0.4374,98,0.0050,0.0113,2,899.00,45.52
blast,ID,2026-02-05,P_EM_2026_02_06_TRADE_TI_D_PR_Design_House_Fabrics,19773,8792,0.4446,83,0.0042,0.0094,0,0.00,0.00
blast,ID,2026-02-08,P_EM_2026_02_09_TRADE_ALL_D_PR_Presidents_Day_Launch,19744,8650,0.4381,61,0.0031,0.0071,0,0.00,0.00
blast,ID,2026-02-12,P_EM_2026_02_13_TRADE_ALL_D_PR_Presidents_Day_Sale_Reminder,19818,8769,0.4425,78,0.0039,0.0089,0,0.00,0.00
blast,ID,2026-02-12,P_EM_2026_02_12_TRADE_ALL_D_PR_Project_Spotlight,19761,9047,0.4578,62,0.0031,0.0069,0,0.00,0.00
blast,ID,2026-02-15,P_EM_2026_02_16_TRADE_ALL_D_PR_Presidents_Day_Sale_Reminder,19795,8967,0.4530,169,0.0085,0.0188,0,0.00,0.00
blast,ID,2026-02-19,P_EM_2026_02_20_TRADE_TI_D_PR_Spring_Preview,20342,8940,0.4395,111,0.0055,0.0124,0,0.00,0.00
blast,ID,2026-02-22,P_EM_2026_02_23_TRADE_ALL_D_PR_Presidents_Day_Sale_Last_Chance,20320,8852,0.4356,104,0.0051,0.0117,0,0.00,0.00
blast,ID,2026-02-24,P_EM_2026_02_25_TRADE_SF_D_PR_Studio_By_StFrank,20333,9035,0.4444,74,0.0036,0.0082,2,9.60,0.47
blast,ID,2026-03-03,P_EM_2026_03_04_TRADE_ID_D_PR_In_Stock,20382,8924,0.4378,123,0.0060,0.0138,1,2444.63,119.94
blast,ID,2026-03-11,P_EM_2026_03_11_TRADE_ID_D_PR_Project_Spotlight_Eva_Burns_Studio,20444,8989,0.4397,66,0.0032,0.0073,1,1802.08,88.15
